YEAR,DOY,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN,PS,AQI,LOC
2019.0,3.9999999999999707,-22.4,-17.41,-27.54,63.4,0.049999999999999836,7.9,11.24,4.29,53.23,398.0,15.000000000000002
2019.0,3.9999999999999707,-22.4,-17.41,-27.54,63.4,0.049999999999999836,7.9,11.24,4.29,53.23,404.0,16.0
2019.0,3.9999999999999707,-22.4,-17.41,-27.54,63.4,0.049999999999999836,7.9,11.24,4.29,53.23,396.0,17.0
2019.0,3.9999999999999707,-22.4,-17.41,-27.54,63.4,0.049999999999999836,7.9,11.24,4.29,53.23,396.0,18.000000000000004
2019.0,3.9999999999999707,-22.4,-17.41,-27.54,63.4,0.049999999999999836,7.9,11.24,4.29,53.23,424.0,19.0
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,400.0,0.0
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,425.0,0.9999999999999996
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,438.0,1.9999999999999991
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,387.0,2.999999999999999
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,402.0,3.9999999999999982
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,368.0,5.0
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,386.0,6.0
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,422.0,7.0
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,413.0,7.999999999999999
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,355.0,8.999999999999998
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,424.0,11.000000000000002
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,400.0,10.0
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,433.0,12.999999999999998
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,390.0,14.0
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,405.0,15.000000000000002
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,427.0,16.0
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,411.0,17.0
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,421.0,18.000000000000004
2019.0,4.999999999999985,-18.49,-10.03,-25.620000000000005,75.6,0.0,8.47,11.93,4.21,53.29,449.0,19.0
2019.0,5.999999999999999,-17.770000000000003,-13.700000000000001,-22.98,72.92,0.049999999999999836,8.14,11.52,4.22,53.25,337.0,0.0
2019.0,5.999999999999999,-17.770000000000003,-13.700000000000001,-22.98,72.92,0.049999999999999836,8.14,11.52,4.22,53.25,358.0,0.9999999999999996
2019.0,5.999999999999999,-17.770000000000003,-13.700000000000001,-22.98,72.92,0.049999999999999836,8.14,11.52,4.22,53.25,356.0,1.9999999999999991
2019.0,5.999999999999999,-17.770000000000003,-13.700000000000001,-22.98,72.92,0.049999999999999836,8.14,11.52,4.22,53.25,321.0,3.9999999999999982
2019.0,5.999999999999999,-17.770000000000003,-13.700000000000001,-22.98,72.92,0.049999999999999836,8.14,11.52,4.22,53.25,284.0,5.0
2019.0,5.999999999999999,-17.770000000000003,-13.700000000000001,-22.98,72.92,0.049999999999999836,8.14,11.52,4.22,53.25,348.0,6.0
2019.0,5.999999999999999,-17.770000000000003,-13.700000000000001,-22.98,72.92,0.049999999999999836,8.14,11.52,4.22,53.25,359.0,7.0
2019.0,5.999999999999999,-17.770000000000003,-13.700000000000001,-22.98,72.92,0.049999999999999836,8.14,11.52,4.22,53.25,358.0,7.999999999999999
2019.0,5.999999999999999,-17.770000000000003,-13.700000000000001,-22.98,72.92,0.049999999999999836,8.14,11.52,4.22,53.25,296.0,8.999999999999998
2019.0,5.999999999999999,-17.770000000000003,-13.700000000000001,-22.98,72.92,0.049999999999999836,8.14,11.52,4.22,53.25,310.0,11.000000000000002
2019.0,5.999999999999999,-17.770000000000003,-13.700000000000001,-22.98,72.92,0.049999999999999836,8.14,11.52,4.22,53.25,292.0,10.0
2019.0,5.999999999999999,-17.770000000000003,-13.700000000000001,-22.98,72.92,0.049999999999999836,8.14,11.52,4.22,53.25,379.0,12.999999999999998
2019.0,5.999999999999999,-17.770000000000003,-13.700000000000001,-22.98,72.92,0.049999999999999836,8.14,11.52,4.22,53.25,329.0,14.0
